ancine_canal;ancine_programadora;ancine_definicaoImagem;ancine_possuiOutraDefinicao;ancine_emOperacao;ancine_dataInicioOferta;ancine_qualificacaoCanal;ancine_idCanal;ancine_paisOrigem
A&E;A&E Brazil Distribution, LLC;Padrão;NÃO;SIM;1997/06/01 00:00:00.000;Canal de espaço qualificado;22398.30001;USA
Arte 1;NEWCO PROGRAMADORA E PRODUTORA DE COMUNICAÇÃO LTDA.;Padrão;NÃO;SIM;2012/10/01 00:00:00.000;Canal brasileiro de espaço qualificado;3293.30003;BRA
AXN HD;SET Brazil, LLC;Alta definição;SIM;SIM;1999/08/01 00:00:00.000;Canal de espaço qualificado;22335.30004;USA
Bandnews HD;NEWCO PROGRAMADORA E PRODUTORA DE COMUNICAÇÃO LTDA.;Alta definição;SIM;SIM;2011/03/19 00:00:00.000;Canal de programação comum;3293.30005;BRA
Bandsports 2 HD;NEWCO PROGRAMADORA E PRODUTORA DE COMUNICAÇÃO LTDA.;Alta definição;SIM;NÃO;2013/05/13 00:00:00.000;Canal de programação comum;3293.30008;BRA
BEM SIMPLES;FOX LATIN AMERICAN CHANNEL, INC;Padrão;NÃO;SIM;2011/04/01 00:00:00.000;Canal de espaço qualificado;6276.30009;USA
BICHOS TV HD;MEDIA MUNDI BRASIL LTDA;Alta definição;SIM;NÃO;2012/11/02 00:00:00.000;Canal de espaço qualificado;207.30001;BRA
BIO - Biography Channel HD;A&E Brazil Distribution, LLC;Alta definição;SIM;SIM;2012/05/01 00:00:00.000;Canal de espaço qualificado;22398.30004;USA
Bloomberg Television;BLOOMBERG L.P.;Padrão;NÃO;SIM;1997/02/02 00:00:00.000;Canal de programação comum;6227.30001;USA
BRZ;CANAIS ABRIL DE TELEVISÃO LTDA;Padrão;NÃO;NÃO;2013/07/01 00:00:00.000;Canal de programação comum;4181.30001;BRA
CANAL FX;FOX LATIN AMERICAN CHANNEL, INC;Padrão;NÃO;SIM;2005/01/01 00:00:00.000;Canal de espaço qualificado;6276.30002;USA
CANAL TCM;PROGRAMADORA CANAL TCM LTDA;Padrão;NÃO;SIM;2013/01/01 00:00:00.000;Canal de programação comum;23817.30001;BRA
Cennarium TV;TEATRO EM CASA Produc. e Comunic.de Obras Audiov. e Cinemat., Vídeos e Programas de TV ¿ EIRELI;Padrão;NÃO;NÃO;2012/09/01 00:00:00.000;Canal brasileiro de espaço qualificado;22267.30001;BRA
CINEBRASiLTV;CONCEITO A EM AUDIOVISUAL S.A;Padrão;NÃO;SIM;2004/07/10 00:00:00.000;Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011;259.30001;BRA
CNN International;TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.;Padrão;NÃO;SIM;1989/01/01 00:00:00.000;Canal de programação comum;6212.30005;USA
COMEDY CENTRAL;MTV NETWORKS LATIN AMERICA INC.;Padrão;NÃO;SIM;2012/02/01 00:00:00.000;Canal de espaço qualificado;6209.30007;USA
DISCOVERY CHANNEL;DISCOVERY LATIN AMERICA, L.L.C;Padrão;NÃO;SIM;1996/04/01 00:00:00.000;Canal de espaço qualificado;6208.30002;USA
DISCOVERY HD THEATHER;DISCOVERY LATIN AMERICA, L.L.C;Alta definição;NÃO;SIM;2009/03/16 00:00:00.000;Canal de espaço qualificado;6208.30004;USA
DISCOVERY KIDS;DISCOVERY LATIN AMERICA, L.L.C;Padrão;NÃO;SIM;1998/03/02 00:00:00.000;Canal de espaço qualificado;6208.30006;USA
DISCOVERY TURBO;DISCOVERY LATIN AMERICA, L.L.C;Padrão;NÃO;SIM;2005/02/28 00:00:00.000;Canal de espaço qualificado;6208.30008;USA
DISNEY JUNIOR;BUENA VISTA INTERNATIONAL, INC;Padrão;NÃO;SIM;2011/04/01 00:00:00.000;Canal de espaço qualificado;6222.30003;USA
EH! SHOW!  (na lista de 07/08/2014);DOUGLAS GAIA PRODUÇÕES;Padrão;NÃO;NÃO;2014/09/15 00:00:00.000;Canal de espaço qualificado;19353.30001;BRA
ESPN BRASIL HD;ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA;Alta definição;SIM;SIM;2012/08/01 00:00:00.000;Canal de programação comum;653.30004;BRA
ÉTV;COMUNIX & ETV COMUNICACAO LTDA;Padrão;NÃO;NÃO;2011/12/05 00:00:00.000;Canal de programação comum;22268.30001;BRA
Fashion TV Brazil HD;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A.;Alta definição;SIM;SIM;2012/09/15 00:00:00.000;Canal brasileiro de espaço qualificado;4744.30008;BRA
FISHTV HD;TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA;Alta definição;SIM;NÃO;2013/10/01 00:00:00.000;Canal brasileiro de espaço qualificado;22269.30002;BRA
FOOD NETWORK HD ;SCRIPPS NETWORKS INTERACTIVE, INC;Alta definição;SIM;NÃO;2014/03/01 00:00:00.000;Canal de espaço qualificado;26839.30002;USA
FOX HD;FOX LATIN AMERICAN CHANNEL, INC;Alta definição;SIM;SIM;2014/06/02 00:00:00.000;Canal de espaço qualificado; 627630015,0;USA
FOX NATGEO HD;FOX LATIN AMERICAN CHANNEL, INC;Alta definição;NÃO;SIM;2009/05/01 00:00:00.000;Canal de espaço qualificado;6276.30007;USA
FOX SPORTS 2 HD;FOX LATIN AMERICAN CHANNEL, INC;Alta definição;SIM;SIM;2014/01/01 00:00:00.000;Canal de programação comum;6276.30013;USA
Globo News;GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S.A.;Padrão;NÃO;SIM;1996/10/15 00:00:00.000;Canal de programação comum;4727.30002;BRA
GLOOB (em HD);GLOBOSAT PROGRAMADORA LTDA;Alta definição;SIM;SIM;2012/06/15 00:00:00.000;Canal de espaço qualificado;50.30018;BRA
H2;HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC;Padrão;NÃO;NÃO;2014/10/01 00:00:00.000;Canal de espaço qualificado;22399.30003;USA
HBO (em HD);Brasil Programming, L.L.C;Alta definição;SIM;SIM;2009/04/01 00:00:00.000;Canal de espaço qualificado;22428.30008;USA
HBO Family;Brasil Programming, L.L.C;Padrão;NÃO;SIM;2005/05/04 00:00:00.000;Canal de espaço qualificado;22428.30004;USA
HBO Plus (em HD);Brasil Programming, L.L.C;Alta definição;SIM;SIM;2013/06/18 00:00:00.000;Canal de espaço qualificado;22428.30011;USA
HBO Signature (em HD);Brasil Programming, L.L.C;Alta definição;SIM;SIM;2013/05/15 00:00:00.000;Canal de espaço qualificado;22428.30012;USA
INVESTIGAÇÃO DISCOVERY HD;DISCOVERY LATIN AMERICA, L.L.C;Alta definição;SIM;SIM;2012/12/04 00:00:00.000;Canal de espaço qualificado;6208.30013;USA
MAIS TV RN;MAIS TV RN LTDA - ME;Padrão;NÃO;NÃO;2015/01/15 00:00:00.000;Canal de programação comum;26981.30001;BRA
MAX HD;BRASIL PRODUCTIONS, L.L.C;Alta definição;SIM;SIM;2010/06/01 00:00:00.000;Canal de espaço qualificado;22429.30002;USA
MAX Prime Pan Regional;BRASIL PRODUCTIONS, L.L.C;Padrão;NÃO;SIM;2000/11/01 00:00:00.000;Canal de espaço qualificado;22429.30004;USA
METRÓPOLE;DOUGLAS GAIA PRODUÇÕES;Padrão;NÃO;NÃO;2014/09/15 00:00:00.000;Canal de espaço qualificado;19353.30002;BRA
MTV;MTV NETWORKS LATIN AMERICA INC.;Padrão;NÃO;SIM;2013/10/01 00:00:00.000;Canal de espaço qualificado;6209.30009;USA
MULTISHOW HD;GLOBOSAT PROGRAMADORA LTDA;Alta definição;SIM;SIM;2012/12/12 00:00:00.000;Canal de espaço qualificado;50.30021;BRA
Music Box Brazil HD;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A.;Alta definição;SIM;SIM;2012/09/15 00:00:00.000;Canal brasileiro de espaço qualificado;4744.30004;BRA
NATIONAL GEOGRAPHIC HD;FOX LATIN AMERICAN CHANNEL, INC;Alta definição;SIM;SIM;2014/06/02 00:00:00.000;Canal de espaço qualificado;6276.30017;USA
NICKELODEON;MTV NETWORKS LATIN AMERICA INC.;Padrão;NÃO;SIM;1996/12/01 00:00:00.000;Canal de espaço qualificado;6209.30001;USA
OFF;GLOBOSAT PROGRAMADORA LTDA;Alta definição;SIM;SIM;2011/12/08 00:00:00.000;Canal brasileiro de espaço qualificado;50.30003;BRA
PLAY TV;GAMECORP S/A;Padrão;NÃO;SIM;2008/10/21 00:00:00.000;Canal brasileiro de espaço qualificado;4931.30001;BRA
POLISHOPTV 3;POLIMPORT COMÉRCIO E EXPORTAÇÃO LTDA.;Padrão;NÃO;SIM;2011/09/29 00:00:00.000;Canal de programação comum;3190.30002;BRA
PREMIERE FC HD;GLOBOSAT PROGRAMADORA LTDA;Alta definição;SIM;SIM;2009/05/24 00:00:00.000;Canal de programação comum;50.30013;BRA
PRIVATE;PB BRASIL ENTRETENIMENTO S/A;Padrão;NÃO;SIM;2008/12/10 00:00:00.000;Canal de programação comum;13263.30005;BRA
Sexprivê;ISHTAR COMUNICAÇÃO LTDA;Padrão;NÃO;SIM;2009/03/01 00:00:00.000;Canal de programação comum;19558.30001;BRA
Sony Entertainment Television HD;SET Brazil, LLC;Alta definição;SIM;SIM;1995/09/01 00:00:00.000;Canal de espaço qualificado;22335.30002;USA
SPACE HD;TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.;Alta definição;SIM;SIM;2009/04/01 00:00:00.000;Canal de espaço qualificado;6212.30015;USA
SPORTV 2;GLOBOSAT PROGRAMADORA LTDA;Padrão;NÃO;SIM;2004/12/31 00:00:00.000;Canal de programação comum;50.30008;BRA
SPORTV HD;GLOBOSAT PROGRAMADORA LTDA;Alta definição;SIM;SIM;2013/01/18 00:00:00.000;Canal de programação comum;50.30019;BRA
SYFY;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;Padrão;NÃO;SIM;2012/05/11 00:00:00.000;Canal de espaço qualificado;44.30003;BRA
TBS muitodivertido SD;TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.;Padrão;NÃO;SIM;2012/01/16 00:00:00.000;Canal de espaço qualificado;6212.30014;USA
TELECINE ACTION HD;TELECINE PROGRAMAÇÃO DE FILMES LTDA.;Alta definição;SIM;SIM;2010/11/01 00:00:00.000;Canal de espaço qualificado;39.30009;BRA
TELECINE FUN;TELECINE PROGRAMAÇÃO DE FILMES LTDA.;Padrão;NÃO;SIM;2010/10/01 00:00:00.000;Canal de espaço qualificado;39.30004;BRA
TELECINE PIPOCA HD;TELECINE PROGRAMAÇÃO DE FILMES LTDA.;Alta definição;SIM;SIM;2010/01/01 00:00:00.000;Canal de espaço qualificado;39.30008;BRA
TELECINE TOUCH;TELECINE PROGRAMAÇÃO DE FILMES LTDA.;Padrão;NÃO;SIM;2010/10/01 00:00:00.000;Canal de espaço qualificado;39.30003;BRA
THC - The History Channel HD;History Channel Brazil Distribution, LLC;Alta definição;SIM;SIM;2010/12/01 00:00:00.000;Canal de espaço qualificado;22399.30002;USA
TNT;TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.;Padrão;NÃO;SIM;1999/09/01 00:00:00.000;Canal de espaço qualificado;6212.30003;USA
Travel Box Brazil;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A.;Padrão;NÃO;SIM;2012/08/20 00:00:00.000;Canal brasileiro de espaço qualificado;4744.30005;BRA
Tru TV SD;TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.;Padrão;NÃO;SIM;2009/04/01 00:00:00.000;Canal de espaço qualificado;6212.30010;USA
TV GUIA LOCAL;V.B. MOTER PRODUÇÕES DE VIDEO ;Padrão;NÃO;SIM;2007/01/01 00:00:00.000;Canal de programação comum;17050.30001;BRA
TV MOSAICO;BAITA CONTEÚDO COMUNICAÇÃO E PRODUÇÃO LTDA ME;Padrão;NÃO;NÃO;2014/10/10 00:00:00.000;Canal de espaço qualificado;25567.30001;BRA
Tv Serrazul Paulista ;Serrazul Produções Ltda ME;Padrão;NÃO;SIM;2013/03/14 00:00:00.000;Canal de programação comum;24330.30001;BRA
TV5 MONDE;TV5 MONDE;Padrão;NÃO;SIM;1996/04/15 00:00:00.000;Canal de espaço qualificado;6269.30001;FRA
UNIVERSAL CHANNEL;NBC UNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;Padrão;NÃO;SIM;1996/05/10 00:00:00.000;Canal de espaço qualificado;44.30001;BRA
VH1 (EM HD);MTV NETWORKS LATIN AMERICA INC.;Alta definição;SIM;SIM;2013/10/01 00:00:00.000;Canal de espaço qualificado;6209.30010;USA
Warner Channel;Warner Channel Brazil Inc.;Padrão;NÃO;SIM;1996/11/01 00:00:00.000;Canal de espaço qualificado;22396.30001;USA
WE HD;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A.;Alta definição;SIM;NÃO;2014/03/15 00:00:00.000;Canal de espaço qualificado;4744.30010;BRA
